	Con1.1	Con1.2	Con1.3	Con2.1	Con2.2	Con2.3	Con3.1	Con3.2	Con3.3	Con4.1	Con4.2	Con4.3	Starved1.1	Starved1.2	Starved1.3	Starved2.1	Starved2.2	Starved2.3	Starved3.1	Starved3.2	Starved3.3	Starved4.1	Starved4.2	Starved4.3	Refed1.1	Refed1.2	Refed1.3	Refed2.1	Refed2.2	Refed2.3	Refed3.1	Refed3.2	Refed3.3	Refed4.1	Refed4.2	Refed4.3
OTU1975	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	25	23	12	22	0	6	2	0	21	20	0	9	1	0	0	3	3	0	0
OTU1974	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3221	0	28	15	21	37	2	4	25	61	10	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	25	11	0	15	0	0	3	0	0
OTU1972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	30	16	45	5	7	10	0	51	71	1	0	6	0	6	0	1	0	0
OTU1970	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	9	7	1	7	0	2	0	0	16	5	0	3	0	0	2	0	0	0	0
OTU1555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU809	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU808	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
OTU802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU801	0	0	0	1	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU806	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0
OTU805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2848	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2849	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2846	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2844	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2845	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2843	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2841	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3323	120	6	12	18	14	0	0	0	3	0	158	41	9	5	3	11	4	0	0	3	0	0	0	0	16	8	0	54	2	2	0	1	1	0	2	6
OTU3325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
OTU1775	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU1774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU1777	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1776	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU1771	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1770	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU323	0	0	0	0	0	0	0	0	0	0	0	1	5	2	4	0	1	0	2	7	0	7	0	2	0	0	0	0	0	0	0	0	0	2	0	0
OTU3973	0	0	3	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU321	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	11	0	0	0	1	0	0	1	0	0	0	0
OTU608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1990	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3974	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2998	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2999	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1154	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1157	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU325	0	3	0	0	0	0	0	0	0	2	0	1	0	0	2	2	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	2	1	0	0
OTU1150	8	5	4	0	2	0	0	3	2	0	21	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	3	0
OTU1153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
OTU1152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU59	16	0	2	0	0	125	50	2	0	0	3	2	1	4	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3	1	0	0	0
OTU58	1	1	1	0	1	2	3	3	3	5	8	2	16	16	715	0	2	0	1	3	3	0	4	7	46	1	1	4	2	18	2	1	2	6	0	2
OTU1550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1552	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1556	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU55	1	0	3	1	0	7	10	3	0	0	1	4	1	4	21	0	4	0	0	2	0	15	15	2	7	11	10	7	2	0	1408	151	6	34	34	19
OTU54	2	2	4	0	3	0	3	6	9	1	3	0	2	14	0	1	8	6	5	64	10	669	4	3	0	4	1	0	1	0	0	452	6	2	3	2
OTU57	1	0	0	0	0	0	2	0	0	0	1	0	1	2	0	0	0	20	0	90	11	5	0	95	12	2	1	1	1	1	2	181	24	0	0	376
OTU3037	0	0	0	0	1	0	0	3	1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0
OTU51	3	227	139	56	76	11	16	372	0	202	0	3	0	2	1	6	13	3	2	1	2	0	10	0	3	4	0	1	19	4	7	3	3	121	13	0
OTU50	1	0	1	0	0	1	2	1	0	4	2	0	262	218	63	1	4	217	110	144	238	111	38	58	35	40	3	0	2	13	1	62	49	27	1	16
OTU53	2	2	0	0	0	0	0	0	1	0	0	0	4	7	1272	0	0	0	0	0	0	0	1	0	15	2	0	3	0	0	0	0	0	0	0	0
OTU52	8	21	5	0	4	6	2	17	0	3	5	1	0	8	4	0	3	2	0	2	0	4	22	0	9	0	0	1	115	13	26	25	162	928	12	14
OTU537	7	3	7	12	9	5	6	7	6	9	12	11	0	0	1	0	7	0	0	0	0	0	0	0	0	0	0	13	0	0	2	0	0	1	5	1
OTU536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	4	0	0	0
OTU535	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0
OTU534	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
OTU533	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	2	0	0	0	0	0	0	0	2	0	0
OTU532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	15	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU531	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU530	0	0	0	0	0	0	0	0	0	0	0	0	2	4	6	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU539	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	2
OTU538	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU56	2	3	1	0	2	7	1	4	5	3	0	0	0	10	7	1	0	2	5	6	0	8	7	5	24	1	0	0	63	11	0	10	16	18	3	18
OTU1558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU2995	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1906	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3032	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU1907	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3033	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3291	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
OTU428	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0
OTU1398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	2	0	3	4	0	1	0
OTU420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4
OTU423	3	7	3	4	5	4	1	2	12	0	0	0	2	0	1	0	1	0	0	0	0	2	3	0	0	0	0	0	6	0	0	0	0	2	3	0
OTU1394	37	12	59	102	36	10	21	4	0	0	36	201	1	1	2	48	43	3	0	0	0	0	0	0	1	0	0	13	0	3	0	0	0	2	12	0
OTU425	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
OTU1391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
OTU1390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
OTU3812	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3813	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU3811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU3816	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	8	0	30	0	0	0	0	0	0	0	0	0	0	0	0
OTU3817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU3814	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0
OTU3815	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	1	0	0	0	0	0	3	3	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU3818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU3819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
OTU856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1600	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2539	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1216	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0
OTU850	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1973	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU302	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	6	5	2	2	0	2	0	0	5	9	0	0	2	0	0	0	0	0	0
OTU3457	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0
OTU1680	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU4299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU4298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU4295	3	8	6	1	9	11	10	7	23	3	0	0	0	0	2	0	0	0	0	2	0	2	1	2	0	0	0	0	6	0	0	2	2	0	3	11
OTU4294	0	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	3	0	0	0	6	0	3	3
OTU4297	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU4296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	3
OTU4291	0	4	21	36	7	0	0	4	0	0	0	66	4	4	3	0	1	0	0	0	0	0	2	7	35	7	6	0	0	2	0	40	170	25	10	0
OTU4290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
OTU4293	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
OTU4292	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	1	0	0	0	0	0	0	0
OTU1841	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1321	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1261	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3474	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU1238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU1424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU3475	0	2	1	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU2183	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2181	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
OTU2187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
OTU229	0	0	0	0	0	0	0	2	0	0	1	0	13	4	1	0	0	21	0	22	18	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
OTU228	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	2	0	2	1	0	0	0	11	9	1	0	0	0	0	0	0	0	0	0
OTU227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0
OTU226	0	0	0	0	0	0	0	1	1	7	1	3	2	1	0	0	4	0	0	0	3	2	0	0	3	3	1	3	0	1	4	2	0	0	1	2
OTU225	0	0	0	0	0	0	0	0	0	4	0	2	0	0	51	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	3	0	0	0	0
OTU224	0	0	0	0	0	0	0	0	0	0	0	0	20	17	5	2	0	3	2	5	0	0	0	4	0	0	1	0	1	0	0	0	0	32	0	0
OTU223	3	2	0	0	0	0	0	2	0	0	1	1	1	3	0	2	2	1	0	0	4	2	0	1	0	0	7	3	1	0	2	0	0	2	1	1
OTU222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	2	0	0	15	1	0	0	1	2	0	0	0	0	0	0
OTU221	2	1	0	0	1	0	0	2	0	0	0	0	29	33	6	0	0	1	15	8	0	12	3	7	3	0	0	1	1	2	0	1	4	1	1	3
OTU220	60	11	4	7	21	452	181	9	14	23	4	3	5	22	19	47	44	2	7	27	4	18	1264	12	6	0	0	1	232	1421	4	37	2	51	43	6
OTU2213	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2212	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2210	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2216	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2337	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2681	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU151	0	1	0	0	1	0	2	4	1	1	0	2	104	72	0	1	2	2	7	0	1	3	0	1	4	0	0	0	0	15	0	4	1	1	0	4
OTU150	7	7	5	0	6	3	7	2	4	3	4	0	4	8	1	5	1	0	4	8	5	12	11	2	9	0	2	0	3	12	0	4	4	2	6	5
OTU2439	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
OTU152	0	0	0	0	0	0	1	2	0	2	2	0	27	25	47	0	0	0	0	0	4	1	0	6	34	3	0	0	7	0	0	0	0	1	0	0
OTU155	0	0	0	0	0	0	0	0	0	0	0	0	4	7	2	0	0	47	1	16	54	4	0	0	9	0	0	0	3	1	0	0	3	0	0	0
OTU154	3	0	2	0	0	1	0	0	5	0	5	2	63	65	6	1	1	3	0	15	0	2	4	3	3	0	0	1	8	5	0	3	0	0	0	1
OTU157	0	0	1	0	0	2	0	0	0	0	0	0	8	15	15	0	0	55	2	3	55	2	0	4	15	10	16	1	0	1	0	2	4	0	1	0
OTU156	0	1	2	0	0	1	0	0	3	0	0	0	1	0	3	0	0	0	3	9	1	5	6	23	1	0	0	0	5	3	0	18	10	48	2	2
OTU159	4	2	3	0	2	0	0	3	0	0	0	0	0	0	2	52	32	0	0	0	0	0	9	0	2	0	0	0	21	8	0	0	0	9	0	0
OTU158	0	0	0	0	0	1	0	0	0	0	0	0	15	20	12	0	0	22	4	0	17	0	1	4	16	36	25	0	1	5	0	0	2	1	0	0
OTU2431	0	11	6	11	0	0	37	12	0	0	0	12	0	0	0	7	3	0	0	0	0	1	0	0	1	0	0	28	0	0	20	1	2	4	4	1
OTU2436	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2435	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2236	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2293	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU4201	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2974	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2508	0	5	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	14	0	0	2	2	0
OTU2507	0	1	1	9	2	0	0	2	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2506	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2504	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU2502	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
